PolicyNumber;Make;Sex;MaritalStatus;Age;VehicleCategory;VehiclePrice;Deductible;DriverRating;PastNumberOfClaims;AgeOfVehicle;AgentType;NumberOfCars;BasePolicy;FraudFound_P
27093;Toyota;Male;Single;49;Sport;20000 to 29000;400;4;none;7 years;External;1 vehicle;Liability;0
45105;Toyota;Male;Married;50;Sedan;less than 20000;400;2;none;more than 7;External;1 vehicle;Collision;0
8550;Toyota;Male;Married;45;Sport;20000 to 29000;400;4;2 to 4;more than 7;External;1 vehicle;Liability;0
9632;Chevrolet;Male;Married;50;Sedan;30000 to 39000;400;3;1;more than 7;External;1 vehicle;Collision;0
33425;Toyota;Male;Married;39;Sedan;20000 to 29000;400;2;none;7 years;External;1 vehicle;Collision;0
27188;Toyota;Male;Married;41;Sedan;30000 to 39000;400;3;none;6 years;External;1 vehicle;All Perils;0
3565;Mercury;Female;Single;29;Sedan;20000 to 29000;400;4;none;6 years;External;1 vehicle;Collision;0
14935;Chevrolet;Female;Married;29;Sedan;20000 to 29000;400;2;2 to 4;4 years;External;1 vehicle;Collision;0
45032;Honda;Male;Married;62;Sedan;20000 to 29000;400;4;2 to 4;more than 7;External;1 vehicle;All Perils;0
1374;Pontiac;Male;Single;26;Sedan;20000 to 29000;400;3;2 to 4;3 years;External;1 vehicle;All Perils;0
44786;Honda;Male;Married;76;Sport;more than 69000;400;2;2 to 4;6 years;External;1 vehicle;Collision;0
30967;Toyota;Male;Married;51;Sedan;less than 20000;400;2;none;more than 7;External;1 vehicle;All Perils;0
27688;Honda;Male;Married;55;Sport;20000 to 29000;400;2;2 to 4;7 years;External;3 to 4;Liability;0
37543;Mazda;Female;Married;49;Sport;30000 to 39000;400;3;1;7 years;External;1 vehicle;Liability;0
33281;Pontiac;Male;Married;38;Sedan;20000 to 29000;400;2;more than 4;more than 7;External;1 vehicle;Collision;0
33599;Honda;Male;Single;35;Sedan;20000 to 29000;400;3;none;6 years;External;1 vehicle;All Perils;0
40959;Chevrolet;Male;Married;57;Sport;20000 to 29000;400;4;more than 4;more than 7;External;1 vehicle;Liability;0
44813;Honda;Male;Single;0;Sport;more than 69000;400;3;2 to 4;new;External;1 vehicle;Liability;0
16941;Mazda;Female;Married;46;Sedan;30000 to 39000;400;3;more than 4;more than 7;External;1 vehicle;Collision;1
9742;Chevrolet;Male;Married;48;Sport;20000 to 29000;400;3;more than 4;more than 7;External;1 vehicle;Liability;0
46980;Honda;Male;Single;32;Sedan;20000 to 29000;400;1;2 to 4;6 years;External;1 vehicle;Collision;0
45469;Toyota;Male;Married;54;Sport;20000 to 29000;400;2;2 to 4;more than 7;External;1 vehicle;Liability;0
41743;Pontiac;Female;Married;45;Sport;30000 to 39000;400;3;2 to 4;7 years;External;1 vehicle;Liability;0
32422;Toyota;Male;Married;32;Sedan;less than 20000;400;2;2 to 4;6 years;External;1 vehicle;All Perils;0
2415;Pontiac;Male;Single;32;Sedan;30000 to 39000;400;4;none;6 years;External;1 vehicle;Collision;0
25428;Mazda;Female;Single;27;Sedan;20000 to 29000;400;2;none;4 years;External;1 vehicle;All Perils;0
14725;Honda;Male;Single;34;Sport;20000 to 29000;400;3;none;6 years;External;1 vehicle;Liability;0
29954;Mazda;Male;Married;36;Sport;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
32950;Mazda;Male;Single;23;Sedan;20000 to 29000;400;4;2 to 4;6 years;External;1 vehicle;Collision;0
17574;Honda;Female;Married;29;Sport;30000 to 39000;400;1;more than 4;7 years;External;1 vehicle;Liability;0
22565;Mazda;Male;Married;30;Sedan;20000 to 29000;400;4;1;5 years;External;1 vehicle;Collision;0
20184;Pontiac;Male;Married;43;Sedan;30000 to 39000;400;2;1;7 years;External;1 vehicle;Collision;0
31048;Toyota;Female;Married;41;Sedan;20000 to 29000;400;3;1;6 years;External;3 to 4;Collision;0
38355;Toyota;Male;Married;41;Sedan;30000 to 39000;400;2;none;7 years;External;1 vehicle;All Perils;0
29291;Dodge;Male;Married;42;Sport;30000 to 39000;400;4;2 to 4;7 years;External;1 vehicle;Liability;0
38790;Mazda;Female;Single;31;Sport;20000 to 29000;400;4;2 to 4;6 years;External;1 vehicle;Liability;0
40970;Honda;Male;Married;41;Sedan;more than 69000;400;1;2 to 4;7 years;External;1 vehicle;All Perils;0
14016;Toyota;Male;Married;29;Sedan;20000 to 29000;400;1;none;6 years;External;1 vehicle;All Perils;0
41022;Honda;Male;Married;35;Sport;more than 69000;400;4;2 to 4;6 years;External;1 vehicle;Liability;0
887;Accura;Male;Married;30;Sedan;30000 to 39000;400;3;1;6 years;External;1 vehicle;All Perils;0
35390;Pontiac;Male;Married;42;Sport;30000 to 39000;400;4;2 to 4;7 years;External;1 vehicle;Liability;0
8987;Toyota;Female;Single;29;Sport;20000 to 29000;400;4;2 to 4;7 years;External;1 vehicle;Liability;0
31861;Pontiac;Male;Single;32;Sedan;30000 to 39000;400;3;2 to 4;6 years;External;1 vehicle;Collision;0
23855;Mazda;Female;Single;52;Sedan;20000 to 29000;400;3;more than 4;more than 7;External;1 vehicle;Collision;0
43954;Ford;Male;Married;42;Sedan;40000 to 59000;400;4;more than 4;7 years;External;1 vehicle;All Perils;0
4208;Honda;Male;Single;34;Sport;30000 to 39000;700;3;none;7 years;External;1 vehicle;Liability;0
20788;Pontiac;Male;Married;46;Sport;30000 to 39000;400;4;2 to 4;more than 7;External;1 vehicle;Liability;0
44482;Toyota;Male;Single;44;Sedan;20000 to 29000;400;4;1;6 years;External;1 vehicle;Collision;0
29644;Accura;Male;Single;28;Sedan;20000 to 29000;400;4;1;6 years;External;1 vehicle;All Perils;0
10585;Chevrolet;Female;Married;55;Sport;20000 to 29000;400;3;none;more than 7;Internal;1 vehicle;Liability;0
36274;Pontiac;Male;Married;52;Sedan;less than 20000;400;2;none;7 years;External;1 vehicle;All Perils;0
9843;Chevrolet;Male;Single;29;Sedan;30000 to 39000;400;3;more than 4;6 years;External;1 vehicle;All Perils;1
24797;Mazda;Male;Married;28;Sport;30000 to 39000;400;4;1;7 years;External;1 vehicle;Liability;0
28102;Chevrolet;Male;Married;46;Sedan;30000 to 39000;400;1;1;more than 7;Internal;1 vehicle;Collision;0
12954;Pontiac;Male;Married;62;Sport;20000 to 29000;500;1;2 to 4;7 years;External;1 vehicle;Liability;0
28723;Pontiac;Female;Married;32;Sedan;20000 to 29000;400;4;1;6 years;External;1 vehicle;Collision;0
19050;Mazda;Male;Married;26;Sedan;20000 to 29000;400;1;1;7 years;External;1 vehicle;All Perils;0
25852;Mazda;Male;Single;38;Sport;20000 to 29000;400;3;1;3 years;External;1 vehicle;Liability;0
16007;Accura;Male;Married;35;Sedan;more than 69000;400;4;2 to 4;7 years;External;1 vehicle;All Perils;1
20040;Honda;Male;Married;41;Sport;20000 to 29000;400;1;none;7 years;External;1 vehicle;Liability;0
1674;Chevrolet;Male;Married;46;Sedan;40000 to 59000;500;2;more than 4;7 years;External;1 vehicle;Collision;0
28352;Honda;Male;Married;61;Sedan;more than 69000;400;4;1;new;External;1 vehicle;All Perils;0
6217;Mazda;Male;Married;40;Sport;30000 to 39000;400;3;2 to 4;7 years;External;1 vehicle;Liability;0
47017;Mazda;Male;Married;28;Sedan;20000 to 29000;400;1;none;5 years;External;1 vehicle;Collision;0
36494;Pontiac;Male;Single;22;Sedan;less than 20000;400;4;2 to 4;5 years;External;1 vehicle;All Perils;1
11987;Pontiac;Male;Married;48;Sport;30000 to 39000;400;3;more than 4;more than 7;External;1 vehicle;Liability;0
14770;Toyota;Male;Married;26;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Collision;0
3378;Honda;Male;Married;55;Sedan;20000 to 29000;400;1;1;more than 7;External;1 vehicle;Collision;0
24141;Chevrolet;Male;Single;42;Sedan;more than 69000;400;2;1;7 years;External;1 vehicle;All Perils;1
11677;Toyota;Female;Widow;35;Sedan;20000 to 29000;400;1;1;7 years;External;1 vehicle;All Perils;1
8902;Ford;Male;Single;30;Sport;30000 to 39000;400;1;more than 4;5 years;External;1 vehicle;Liability;0
46719;Toyota;Male;Married;65;Sedan;20000 to 29000;400;4;more than 4;more than 7;External;1 vehicle;All Perils;1
43770;Saab;Male;Single;24;Sedan;30000 to 39000;400;4;none;5 years;External;1 vehicle;All Perils;0
38507;Honda;Male;Married;46;Sport;more than 69000;400;3;none;more than 7;External;1 vehicle;Collision;0
21653;Honda;Male;Married;53;Sedan;20000 to 29000;400;1;none;more than 7;External;1 vehicle;All Perils;0
29296;Toyota;Male;Single;35;Sedan;30000 to 39000;400;4;2 to 4;6 years;External;1 vehicle;Collision;0
42512;Pontiac;Female;Single;36;Sedan;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;Collision;0
731;Mazda;Male;Married;33;Sport;30000 to 39000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
5400;Chevrolet;Male;Married;41;Sedan;30000 to 39000;400;4;none;6 years;External;2 vehicles;Collision;0
36870;Accura;Male;Married;59;Sedan;more than 69000;400;1;1;more than 7;External;1 vehicle;All Perils;0
48048;Saturn;Male;Married;49;Sport;60000 to 69000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
27070;Mazda;Female;Married;55;Sedan;less than 20000;400;2;none;7 years;External;1 vehicle;Collision;0
41680;Chevrolet;Female;Single;21;Sedan;20000 to 29000;400;2;none;5 years;External;1 vehicle;All Perils;0
27278;Chevrolet;Male;Married;48;Sedan;20000 to 29000;400;3;1;7 years;External;1 vehicle;Collision;0
46982;Mazda;Male;Married;28;Sedan;40000 to 59000;400;4;2 to 4;6 years;External;1 vehicle;Collision;0
41563;Toyota;Male;Married;43;Sedan;20000 to 29000;400;1;none;7 years;External;1 vehicle;Collision;0
38162;Toyota;Male;Married;40;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;All Perils;0
35806;Accura;Male;Single;61;Sedan;more than 69000;400;1;2 to 4;more than 7;External;1 vehicle;All Perils;1
683;Chevrolet;Male;Single;24;Sedan;30000 to 39000;400;3;2 to 4;5 years;Internal;1 vehicle;Collision;0
31274;Pontiac;Male;Married;45;Sedan;20000 to 29000;400;2;none;7 years;External;1 vehicle;All Perils;0
14174;Honda;Female;Single;33;Sedan;20000 to 29000;400;1;1;5 years;External;1 vehicle;Collision;0
31696;Toyota;Male;Married;32;Sport;20000 to 29000;400;1;2 to 4;5 years;External;1 vehicle;Liability;0
25702;Toyota;Male;Married;54;Sedan;20000 to 29000;400;1;1;7 years;External;1 vehicle;Collision;1
15971;Chevrolet;Male;Single;46;Sedan;20000 to 29000;500;1;none;more than 7;External;1 vehicle;All Perils;0
19333;Pontiac;Female;Married;51;Sedan;30000 to 39000;400;3;1;more than 7;External;1 vehicle;Collision;1
25629;Pontiac;Male;Married;42;Sedan;20000 to 29000;400;3;1;more than 7;External;1 vehicle;Collision;0
33823;Mazda;Male;Single;29;Sedan;20000 to 29000;400;1;2 to 4;5 years;External;1 vehicle;Collision;0
27969;Honda;Male;Single;27;Sport;more than 69000;400;3;none;6 years;External;1 vehicle;Collision;0
18369;Mazda;Male;Married;41;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Collision;0
47450;Toyota;Male;Married;27;Sport;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;Liability;0
3520;Pontiac;Female;Married;29;Sport;20000 to 29000;400;1;2 to 4;6 years;External;1 vehicle;Liability;0
14810;Toyota;Male;Married;63;Sedan;20000 to 29000;400;1;1;more than 7;External;1 vehicle;All Perils;0
20815;Pontiac;Male;Married;26;Sedan;20000 to 29000;400;3;none;6 years;External;1 vehicle;Collision;0
21687;Mazda;Male;Married;51;Sedan;60000 to 69000;400;4;1;6 years;External;1 vehicle;All Perils;0
8848;Toyota;Male;Married;36;Sport;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
26483;Honda;Female;Married;54;Sedan;less than 20000;400;3;none;more than 7;External;1 vehicle;Collision;0
48669;Ford;Male;Married;51;Utility;more than 69000;400;2;more than 4;7 years;External;1 vehicle;All Perils;1
27005;Toyota;Female;Married;49;Sedan;more than 69000;400;1;1;6 years;External;1 vehicle;All Perils;0
8267;Mazda;Male;Married;54;Sedan;30000 to 39000;400;4;2 to 4;more than 7;External;1 vehicle;All Perils;0
44640;Accura;Male;Single;43;Sport;more than 69000;400;4;more than 4;7 years;External;1 vehicle;Liability;0
33269;Ford;Male;Married;63;Sedan;40000 to 59000;400;4;1;more than 7;External;1 vehicle;All Perils;0
13367;Honda;Male;Single;0;Sport;more than 69000;400;4;2 to 4;new;External;2 vehicles;Liability;0
2772;Mazda;Male;Married;52;Sport;30000 to 39000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
26189;Toyota;Male;Single;35;Sport;20000 to 29000;400;1;more than 4;6 years;External;2 vehicles;Liability;0
20740;Chevrolet;Male;Married;33;Utility;more than 69000;400;1;none;6 years;External;2 vehicles;All Perils;0
34523;Chevrolet;Male;Married;27;Sport;more than 69000;400;4;2 to 4;7 years;External;1 vehicle;Liability;0
37312;Toyota;Female;Single;39;Sport;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;Liability;0
29480;Toyota;Male;Married;59;Sedan;30000 to 39000;400;2;none;more than 7;External;1 vehicle;All Perils;0
7103;Pontiac;Male;Married;42;Sedan;30000 to 39000;400;1;2 to 4;more than 7;External;1 vehicle;Collision;0
6021;Mazda;Male;Divorced;31;Sport;more than 69000;400;1;none;7 years;External;1 vehicle;Collision;0
15453;Mazda;Male;Married;53;Sedan;more than 69000;400;1;2 to 4;7 years;External;1 vehicle;Collision;1
45018;Pontiac;Female;Married;44;Sedan;30000 to 39000;400;3;2 to 4;6 years;External;1 vehicle;Collision;0
26477;Pontiac;Male;Married;50;Sedan;20000 to 29000;400;4;none;7 years;External;1 vehicle;Collision;0
18848;Pontiac;Female;Married;43;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Collision;0
21911;Mecedes;Male;Married;56;Sedan;more than 69000;400;3;none;7 years;External;1 vehicle;All Perils;1
16349;Pontiac;Male;Married;34;Sport;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
13033;Pontiac;Male;Married;46;Sedan;20000 to 29000;400;2;none;7 years;External;1 vehicle;All Perils;0
11024;Mazda;Female;Married;38;Sedan;20000 to 29000;400;1;none;4 years;External;1 vehicle;Collision;0
8411;Mazda;Female;Single;41;Sport;20000 to 29000;400;1;more than 4;7 years;External;1 vehicle;Liability;0
41613;Toyota;Female;Married;32;Sport;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Liability;0
21145;Mazda;Male;Married;58;Sedan;30000 to 39000;400;4;none;more than 7;External;1 vehicle;All Perils;0
1845;Pontiac;Male;Married;32;Sedan;20000 to 29000;400;4;1;6 years;External;1 vehicle;All Perils;1
2653;Mazda;Male;Married;36;Sport;20000 to 29000;400;2;none;6 years;External;1 vehicle;Liability;0
38392;Pontiac;Male;Married;33;Sport;more than 69000;400;3;more than 4;6 years;External;1 vehicle;Liability;0
10248;Chevrolet;Male;Married;47;Sedan;30000 to 39000;400;3;none;more than 7;External;1 vehicle;All Perils;0
9918;Mazda;Male;Married;30;Sedan;20000 to 29000;400;3;2 to 4;6 years;External;1 vehicle;Collision;0
29270;Honda;Male;Single;30;Sport;20000 to 29000;400;4;none;6 years;External;1 vehicle;Liability;0
27734;Ford;Male;Married;52;Sport;60000 to 69000;400;4;2 to 4;more than 7;External;1 vehicle;Liability;0
34733;Honda;Male;Divorced;39;Sedan;30000 to 39000;400;3;none;7 years;External;1 vehicle;Collision;0
22062;Toyota;Male;Married;53;Sport;30000 to 39000;400;3;2 to 4;7 years;External;1 vehicle;Liability;0
30620;Pontiac;Male;Single;49;Utility;more than 69000;400;2;more than 4;more than 7;External;1 vehicle;All Perils;0
15818;Toyota;Male;Single;35;Sedan;more than 69000;400;2;2 to 4;7 years;External;1 vehicle;Collision;0
14013;Mazda;Male;Married;50;Sedan;30000 to 39000;700;3;2 to 4;more than 7;External;1 vehicle;All Perils;1
33009;Honda;Male;Married;39;Sport;30000 to 39000;400;4;more than 4;7 years;External;1 vehicle;Liability;0
14617;Honda;Male;Married;39;Sedan;20000 to 29000;400;3;1;more than 7;External;1 vehicle;Collision;0
39907;Mazda;Male;Single;21;Sport;more than 69000;400;4;none;5 years;External;1 vehicle;Collision;0
1163;Pontiac;Male;Married;53;Sedan;30000 to 39000;400;3;2 to 4;7 years;External;1 vehicle;Collision;0
14125;Pontiac;Male;Married;45;Sedan;20000 to 29000;400;4;2 to 4;7 years;External;1 vehicle;All Perils;0
14236;VW;Male;Married;63;Sport;60000 to 69000;400;1;more than 4;6 years;External;1 vehicle;Liability;0
18431;Toyota;Male;Single;39;Sport;20000 to 29000;400;3;none;7 years;External;1 vehicle;Liability;0
19837;Toyota;Male;Married;47;Sport;more than 69000;400;3;1;more than 7;External;1 vehicle;Liability;0
28078;Mazda;Male;Single;33;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Collision;0
30327;Saab;Male;Married;35;Sedan;30000 to 39000;400;2;1;7 years;External;1 vehicle;Collision;0
24044;Pontiac;Female;Single;18;Sedan;30000 to 39000;400;3;2 to 4;3 years;External;1 vehicle;Collision;0
21379;Toyota;Male;Married;55;Sedan;less than 20000;400;4;1;more than 7;External;1 vehicle;All Perils;0
32067;Toyota;Female;Married;27;Sedan;30000 to 39000;400;1;more than 4;7 years;External;1 vehicle;Collision;0
12008;Honda;Male;Single;26;Sedan;more than 69000;400;3;more than 4;6 years;External;1 vehicle;All Perils;0
7853;Honda;Male;Married;35;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;2 vehicles;All Perils;0
4928;Toyota;Male;Married;64;Sedan;20000 to 29000;400;4;none;7 years;External;1 vehicle;Collision;0
45456;Pontiac;Male;Single;38;Sedan;30000 to 39000;400;4;none;7 years;External;1 vehicle;All Perils;0
17006;Honda;Male;Married;27;Sedan;20000 to 29000;400;1;1;7 years;External;1 vehicle;Collision;0
1803;Toyota;Male;Married;36;Sedan;less than 20000;400;1;none;more than 7;External;2 vehicles;All Perils;0
13525;Ford;Male;Married;51;Sport;more than 69000;700;3;2 to 4;more than 7;External;1 vehicle;Liability;0
45413;Mazda;Male;Single;34;Sedan;30000 to 39000;400;1;none;7 years;External;1 vehicle;Collision;0
11247;Pontiac;Male;Single;29;Sedan;20000 to 29000;400;1;2 to 4;6 years;External;1 vehicle;Collision;0
6914;Chevrolet;Male;Married;37;Sport;more than 69000;400;4;none;more than 7;External;1 vehicle;Liability;0
25871;Ford;Male;Married;49;Sedan;40000 to 59000;400;2;none;more than 7;External;1 vehicle;Collision;0
33006;Pontiac;Male;Married;54;Sedan;20000 to 29000;400;1;1;more than 7;External;1 vehicle;All Perils;0
31846;Toyota;Male;Married;38;Sedan;20000 to 29000;400;4;2 to 4;7 years;External;1 vehicle;Collision;0
26909;Honda;Male;Married;44;Sedan;30000 to 39000;400;1;2 to 4;7 years;External;1 vehicle;Collision;0
15177;Dodge;Female;Single;32;Sport;20000 to 29000;400;4;more than 4;5 years;External;1 vehicle;Liability;0
7829;Toyota;Male;Single;30;Sedan;30000 to 39000;400;4;none;5 years;External;1 vehicle;All Perils;0
42472;Toyota;Female;Single;34;Sedan;20000 to 29000;400;3;2 to 4;5 years;External;1 vehicle;Collision;0
19452;Toyota;Male;Married;48;Sedan;20000 to 29000;700;2;1;more than 7;External;1 vehicle;All Perils;0
33060;Chevrolet;Male;Married;57;Sport;30000 to 39000;400;4;2 to 4;more than 7;External;1 vehicle;Liability;0
216;Toyota;Male;Married;36;Sedan;20000 to 29000;400;4;1;5 years;External;1 vehicle;Collision;0
28366;Pontiac;Male;Single;34;Sedan;20000 to 29000;400;4;none;6 years;External;1 vehicle;Collision;0
17572;Mercury;Male;Married;46;Utility;30000 to 39000;400;3;more than 4;more than 7;External;1 vehicle;All Perils;1
25457;Honda;Male;Single;0;Sedan;more than 69000;400;2;none;new;External;1 vehicle;Collision;0
21517;Toyota;Female;Married;27;Sedan;20000 to 29000;400;2;1;5 years;External;2 vehicles;Collision;0
26507;Pontiac;Male;Married;36;Utility;40000 to 59000;400;1;more than 4;6 years;External;1 vehicle;All Perils;0
33592;Pontiac;Male;Married;35;Sport;30000 to 39000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
11282;Chevrolet;Male;Single;23;Utility;more than 69000;400;2;more than 4;5 years;External;1 vehicle;All Perils;0
613;Toyota;Male;Married;60;Sedan;less than 20000;400;1;1;6 years;External;1 vehicle;All Perils;1
35320;Pontiac;Male;Single;34;Sedan;20000 to 29000;400;4;more than 4;6 years;External;1 vehicle;Collision;0
28220;Honda;Female;Married;29;Sedan;more than 69000;400;3;2 to 4;5 years;External;1 vehicle;Collision;1
11196;Pontiac;Male;Married;38;Sport;20000 to 29000;400;4;2 to 4;more than 7;External;1 vehicle;Liability;0
33402;Chevrolet;Male;Married;55;Utility;more than 69000;400;1;2 to 4;7 years;External;1 vehicle;Collision;0
7323;Pontiac;Female;Single;30;Sport;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
10630;Pontiac;Male;Married;33;Sedan;20000 to 29000;400;1;1;6 years;External;1 vehicle;All Perils;0
40663;Ford;Male;Married;49;Sedan;60000 to 69000;400;1;none;more than 7;External;1 vehicle;All Perils;0
33355;Pontiac;Male;Married;29;Sport;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
28638;Pontiac;Male;Married;39;Sedan;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;Collision;0
31012;Mazda;Male;Married;44;Sedan;20000 to 29000;400;4;2 to 4;7 years;External;1 vehicle;Collision;0
7452;Pontiac;Male;Married;26;Sport;20000 to 29000;400;3;1;6 years;External;1 vehicle;Liability;0
41040;Honda;Male;Single;31;Sport;more than 69000;400;2;more than 4;new;External;1 vehicle;Liability;0
30970;Chevrolet;Female;Single;27;Sedan;20000 to 29000;400;4;none;6 years;External;1 vehicle;Collision;0
31017;Toyota;Male;Single;34;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Collision;0
38940;Pontiac;Male;Married;29;Sedan;less than 20000;400;4;none;6 years;External;1 vehicle;All Perils;0
27283;Honda;Male;Single;29;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Collision;0
32232;Honda;Male;Married;49;Sedan;less than 20000;400;4;none;7 years;External;1 vehicle;All Perils;0
38269;Toyota;Female;Married;33;Sedan;20000 to 29000;400;3;1;6 years;External;1 vehicle;Collision;0
34129;Mazda;Male;Married;43;Sedan;20000 to 29000;400;2;1;7 years;External;1 vehicle;Collision;0
34561;Chevrolet;Female;Married;27;Sedan;20000 to 29000;400;2;1;6 years;External;1 vehicle;All Perils;0
14320;Chevrolet;Male;Married;52;Sport;20000 to 29000;400;1;1;7 years;External;1 vehicle;Liability;0
29176;Pontiac;Male;Married;50;Sedan;20000 to 29000;400;3;2 to 4;more than 7;External;1 vehicle;Collision;0
30065;Chevrolet;Male;Single;26;Sedan;20000 to 29000;400;3;1;7 years;External;1 vehicle;All Perils;0
44769;Honda;Female;Single;35;Sport;more than 69000;400;3;none;6 years;External;1 vehicle;Collision;0
17078;Pontiac;Male;Married;50;Sedan;20000 to 29000;400;1;none;7 years;External;1 vehicle;All Perils;1
4847;Accura;Male;Married;39;Sedan;30000 to 39000;400;4;2 to 4;7 years;External;1 vehicle;Collision;1
42836;VW;Male;Single;22;Sedan;more than 69000;400;1;2 to 4;5 years;External;1 vehicle;All Perils;0
39172;Chevrolet;Male;Single;25;Sedan;20000 to 29000;400;2;2 to 4;5 years;Internal;1 vehicle;Collision;0
26998;Ford;Male;Married;31;Sedan;40000 to 59000;400;1;2 to 4;7 years;External;1 vehicle;Collision;0
42665;Pontiac;Male;Married;40;Sedan;20000 to 29000;400;2;more than 4;7 years;External;1 vehicle;Collision;0
7605;Pontiac;Male;Married;65;Sedan;20000 to 29000;400;4;none;more than 7;External;1 vehicle;All Perils;0
38294;Toyota;Male;Married;32;Sedan;20000 to 29000;400;1;1;6 years;Internal;1 vehicle;Collision;0
27246;Toyota;Male;Single;34;Sport;more than 69000;400;1;2 to 4;6 years;External;1 vehicle;Liability;0
29675;Mazda;Male;Married;38;Sedan;30000 to 39000;400;3;none;7 years;External;1 vehicle;Collision;0
41664;Toyota;Male;Single;21;Sedan;less than 20000;400;4;2 to 4;5 years;External;1 vehicle;Collision;0
1059;Chevrolet;Male;Married;26;Sedan;20000 to 29000;400;4;none;7 years;External;1 vehicle;Collision;0
45393;Pontiac;Male;Married;52;Sedan;20000 to 29000;400;1;2 to 4;more than 7;External;3 to 4;Collision;0
3722;Honda;Male;Married;30;Sedan;20000 to 29000;400;1;none;6 years;External;2 vehicles;Collision;0
5712;Pontiac;Male;Married;51;Sport;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
44472;Mazda;Male;Married;61;Sedan;20000 to 29000;400;4;none;more than 7;External;1 vehicle;Collision;0
15757;Toyota;Female;Widow;39;Sport;less than 20000;400;2;more than 4;7 years;External;1 vehicle;Liability;0
39879;Chevrolet;Male;Married;40;Sedan;20000 to 29000;400;4;1;more than 7;External;1 vehicle;Collision;0
12499;Honda;Male;Single;22;Sport;more than 69000;400;1;none;5 years;External;1 vehicle;Collision;1
6224;Toyota;Female;Married;52;Sedan;20000 to 29000;400;4;2 to 4;more than 7;External;1 vehicle;Collision;0
20715;Toyota;Female;Married;43;Sedan;less than 20000;400;4;none;7 years;External;1 vehicle;All Perils;0
24269;Pontiac;Male;Married;50;Sport;30000 to 39000;400;2;2 to 4;more than 7;External;1 vehicle;Liability;0
45466;Honda;Male;Married;40;Sedan;less than 20000;400;2;none;7 years;External;1 vehicle;All Perils;0
18136;Honda;Male;Married;51;Sedan;30000 to 39000;400;1;none;3 years;External;1 vehicle;All Perils;1
5691;Porche;Male;Single;44;Sport;more than 69000;400;1;2 to 4;more than 7;External;1 vehicle;Liability;0
18282;Toyota;Female;Single;32;Sedan;less than 20000;400;3;none;6 years;External;1 vehicle;All Perils;0
34656;Chevrolet;Male;Married;30;Sport;40000 to 59000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
7386;Honda;Male;Married;43;Sedan;less than 20000;400;2;none;7 years;External;3 to 4;All Perils;0
41695;Toyota;Male;Married;28;Sedan;20000 to 29000;400;4;1;6 years;External;1 vehicle;All Perils;0
48934;Toyota;Male;Single;26;Sport;20000 to 29000;400;1;more than 4;7 years;External;1 vehicle;Liability;0
8538;Mazda;Male;Married;64;Sedan;20000 to 29000;400;4;none;more than 7;External;1 vehicle;All Perils;0
6719;Toyota;Female;Married;44;Sport;20000 to 29000;400;2;1;7 years;External;1 vehicle;Liability;0
48041;Honda;Male;Married;42;Sedan;20000 to 29000;400;1;none;7 years;External;1 vehicle;All Perils;0
4273;Mazda;Male;Married;48;Sport;20000 to 29000;400;3;more than 4;more than 7;External;1 vehicle;Liability;0
1593;Pontiac;Male;Married;27;Sport;20000 to 29000;400;4;2 to 4;6 years;Internal;1 vehicle;Liability;0
22422;Mazda;Male;Single;27;Sport;30000 to 39000;400;1;2 to 4;6 years;External;1 vehicle;Liability;0
35014;Mazda;Male;Single;20;Sedan;20000 to 29000;400;3;2 to 4;4 years;External;1 vehicle;Collision;0
13957;Mazda;Male;Married;28;Sedan;20000 to 29000;400;3;none;6 years;External;1 vehicle;Collision;0
47313;Pontiac;Male;Single;46;Utility;more than 69000;400;1;more than 4;7 years;External;1 vehicle;All Perils;0
47217;Honda;Female;Married;43;Sport;20000 to 29000;400;1;none;7 years;External;1 vehicle;Liability;0
