Month;WeekOfMonth;DayOfWeek;AccidentArea;DayOfWeekClaimed;MonthClaimed;WeekOfMonthClaimed;PolicyNumber;Fault;RepNumber;Days_Policy_Accident;Days_Policy_Claim;PoliceReportFiled;WitnessPresent;NumberOfSuppliments;AddressChange_Claim;Year;FraudFound_P;Make;Sex;MaritalStatus;Age;VehicleCategory;VehiclePrice;Deductible;DriverRating;PastNumberOfClaims;AgeOfVehicle;AgentType;NumberOfCars;BasePolicy
Aug;1;Friday;Urban;Tuesday;Aug;3;23027;Policy Holder;2;more than 30;more than 30;No;No;1 to 2;no change;1995;0;Pontiac;Male;Married;35;Sedan;30000 to 39000;400;3;none;6 years;External;1 vehicle;Collision
Jan;3;Saturday;Urban;Monday;Jan;3;11734;Policy Holder;5;more than 30;more than 30;No;No;none;no change;1994;0;Honda;Male;Single;29;Sport;30000 to 39000;400;1;none;6 years;External;1 vehicle;Liability
Dec;2;Monday;Urban;Thursday;Dec;5;40562;Policy Holder;2;more than 30;more than 30;Yes;No;none;no change;1995;0;Toyota;Male;Married;35;Sedan;more than 69000;400;4;2 to 4;7 years;Internal;1 vehicle;Collision
Jan;5;Monday;Urban;Monday;Jan;5;30826;Policy Holder;12;more than 30;more than 30;No;No;more than 5;no change;1996;0;Mazda;Male;Single;42;Sport;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;Liability
Jan;2;Friday;Urban;Thursday;Feb;4;47505;Policy Holder;1;more than 30;more than 30;No;No;none;no change;1995;0;Toyota;Male;Married;52;Sedan;20000 to 29000;400;1;none;more than 7;External;1 vehicle;All Perils
Mar;1;Thursday;Urban;Monday;Mar;1;28038;Policy Holder;10;more than 30;more than 30;No;No;none;no change;1996;0;Honda;Male;Married;43;Sedan;20000 to 29000;400;4;2 to 4;4 years;External;1 vehicle;All Perils
Apr;4;Friday;Urban;Monday;Apr;4;41711;Third Party;1;more than 30;more than 30;No;No;none;no change;1994;0;Chevrolet;Female;Single;31;Sedan;more than 69000;400;1;none;6 years;External;1 vehicle;All Perils
Feb;3;Saturday;Urban;Tuesday;Mar;4;8725;Policy Holder;2;more than 30;more than 30;No;No;none;no change;1996;0;Toyota;Female;Married;48;Sedan;20000 to 29000;400;3;2 to 4;more than 7;External;1 vehicle;Collision
Dec;1;Monday;Rural;Tuesday;May;3;19428;Policy Holder;1;more than 30;more than 30;No;No;more than 5;under 6 months;1994;1;Toyota;Male;Married;39;Sedan;30000 to 39000;400;3;none;more than 7;External;2 vehicles;All Perils
Nov;2;Saturday;Urban;Friday;Nov;3;18145;Policy Holder;13;more than 30;more than 30;No;No;none;no change;1995;0;Toyota;Male;Married;33;Sport;20000 to 29000;400;4;2 to 4;7 years;External;1 vehicle;Liability
Aug;4;Monday;Urban;Monday;Aug;4;46990;Policy Holder;2;more than 30;more than 30;No;No;1 to 2;no change;1994;0;Toyota;Male;Single;24;Sedan;20000 to 29000;400;4;2 to 4;5 years;External;1 vehicle;Collision
Jun;2;Friday;Urban;Tuesday;Jun;3;6216;Policy Holder;4;more than 30;more than 30;No;No;none;no change;1994;0;Honda;Male;Single;0;Sedan;more than 69000;400;4;2 to 4;new;External;1 vehicle;Collision
May;1;Tuesday;Urban;Wednesday;May;1;14068;Third Party;6;more than 30;more than 30;No;No;1 to 2;no change;1994;0;Pontiac;Male;Married;37;Sedan;20000 to 29000;400;3;1;7 years;External;1 vehicle;All Perils
Apr;2;Saturday;Urban;Monday;Apr;2;20308;Policy Holder;13;more than 30;more than 30;No;No;none;no change;1996;0;Mercury;Male;Married;62;Sedan;20000 to 29000;400;3;none;more than 7;External;1 vehicle;All Perils
Nov;1;Monday;Urban;Friday;Nov;2;13223;Policy Holder;16;more than 30;more than 30;No;No;more than 5;no change;1994;0;Toyota;Male;Single;40;Sedan;20000 to 29000;400;1;none;more than 7;External;1 vehicle;All Perils
Mar;2;Saturday;Urban;Monday;Mar;3;37771;Policy Holder;8;more than 30;more than 30;No;No;none;no change;1996;0;Honda;Male;Single;0;Sport;more than 69000;400;1;2 to 4;new;External;1 vehicle;Liability
Sep;3;Thursday;Rural;Sunday;Oct;1;41170;Policy Holder;4;more than 30;more than 30;No;No;none;2 to 3 years;1995;0;Honda;Male;Married;23;Sedan;20000 to 29000;500;1;1;6 years;External;1 vehicle;Collision
Jul;2;Tuesday;Urban;Tuesday;Jul;3;7342;Third Party;9;more than 30;more than 30;No;No;more than 5;no change;1996;0;Pontiac;Male;Married;37;Sedan;30000 to 39000;400;2;2 to 4;7 years;External;1 vehicle;Collision
Oct;3;Thursday;Urban;Wednesday;Oct;4;32829;Policy Holder;16;more than 30;more than 30;No;No;1 to 2;no change;1995;0;Pontiac;Male;Married;28;Sedan;20000 to 29000;400;1;1;6 years;External;1 vehicle;Collision
Apr;5;Thursday;Urban;Wednesday;May;2;25375;Policy Holder;10;more than 30;more than 30;No;No;none;no change;1994;0;Toyota;Male;Single;21;Sport;20000 to 29000;400;4;more than 4;6 years;External;1 vehicle;Liability
Dec;1;Sunday;Rural;Wednesday;May;2;31405;Policy Holder;3;more than 30;more than 30;No;No;1 to 2;no change;1996;0;Honda;Male;Single;28;Sedan;20000 to 29000;400;1;2 to 4;5 years;External;1 vehicle;Collision
Jun;4;Saturday;Rural;Tuesday;Jul;1;29670;Policy Holder;9;more than 30;more than 30;No;No;none;no change;1996;1;Pontiac;Male;Married;53;Sedan;less than 20000;400;1;1;6 years;External;1 vehicle;All Perils
Dec;1;Monday;Urban;Thursday;Dec;2;41859;Third Party;2;more than 30;more than 30;No;No;none;no change;1994;0;Pontiac;Male;Married;49;Sedan;20000 to 29000;400;4;none;more than 7;External;1 vehicle;All Perils
Feb;3;Monday;Urban;Friday;Feb;4;4723;Policy Holder;13;more than 30;more than 30;No;No;none;no change;1994;0;Mazda;Male;Married;41;Sport;30000 to 39000;400;3;2 to 4;7 years;External;1 vehicle;Liability
Jan;4;Tuesday;Urban;Tuesday;Mar;3;7517;Policy Holder;8;more than 30;more than 30;No;No;more than 5;no change;1996;0;Accura;Male;Married;52;Utility;more than 69000;400;3;none;7 years;External;1 vehicle;All Perils
Sep;3;Tuesday;Rural;Thursday;Oct;1;23661;Policy Holder;5;more than 30;more than 30;No;No;none;no change;1996;1;VW;Male;Married;61;Sedan;20000 to 29000;400;4;none;6 years;External;1 vehicle;All Perils
Feb;4;Wednesday;Rural;Thursday;Feb;4;38031;Third Party;9;more than 30;more than 30;No;No;1 to 2;no change;1995;0;VW;Male;Married;52;Sedan;more than 69000;400;1;none;more than 7;External;1 vehicle;All Perils
May;2;Thursday;Urban;Friday;May;2;33934;Third Party;15;more than 30;more than 30;No;No;1 to 2;no change;1994;0;Honda;Male;Married;37;Sedan;more than 69000;400;3;1;6 years;External;1 vehicle;All Perils
Nov;3;Monday;Urban;Friday;Nov;3;14366;Policy Holder;6;more than 30;more than 30;No;No;more than 5;no change;1994;0;Pontiac;Male;Married;31;Sedan;20000 to 29000;400;3;more than 4;7 years;External;1 vehicle;Collision
Jun;2;Tuesday;Urban;Tuesday;Jun;2;4051;Policy Holder;10;more than 30;more than 30;No;No;more than 5;no change;1994;0;Honda;Male;Married;41;Sport;30000 to 39000;400;2;1;7 years;External;3 to 4;Liability
May;3;Thursday;Urban;Monday;May;4;24445;Policy Holder;16;more than 30;more than 30;No;No;more than 5;no change;1994;0;Pontiac;Male;Married;49;Sedan;20000 to 29000;400;1;2 to 4;more than 7;External;1 vehicle;Collision
May;3;Tuesday;Urban;Tuesday;May;3;3955;Policy Holder;1;more than 30;more than 30;No;No;1 to 2;no change;1994;0;Pontiac;Male;Single;24;Sport;20000 to 29000;400;3;more than 4;4 years;External;1 vehicle;Liability
Apr;5;Thursday;Urban;Wednesday;May;2;3619;Policy Holder;3;8 to 15;more than 30;No;No;none;no change;1996;0;Chevrolet;Male;Married;55;Sedan;40000 to 59000;400;4;none;7 years;External;1 vehicle;Collision
Nov;2;Friday;Urban;Thursday;Nov;3;46899;Policy Holder;12;more than 30;more than 30;No;No;none;no change;1996;0;Pontiac;Male;Married;54;Sedan;20000 to 29000;400;1;2 to 4;more than 7;External;1 vehicle;Collision
Sep;2;Saturday;Urban;Thursday;Sep;3;20621;Policy Holder;13;8 to 15;8 to 15;No;No;none;no change;1996;0;Honda;Female;Married;32;Sport;more than 69000;400;2;none;2 years;External;1 vehicle;Collision
Mar;4;Sunday;Urban;Tuesday;Mar;5;22656;Policy Holder;4;more than 30;more than 30;No;No;3 to 5;no change;1994;0;Mazda;Male;Married;45;Sedan;30000 to 39000;700;4;none;more than 7;External;1 vehicle;Collision
Mar;2;Tuesday;Urban;Wednesday;Mar;2;23925;Policy Holder;4;more than 30;more than 30;No;No;more than 5;no change;1994;0;Pontiac;Male;Married;44;Sedan;20000 to 29000;400;3;2 to 4;more than 7;External;3 to 4;All Perils
Jun;2;Friday;Urban;Monday;Jun;2;10493;Third Party;12;more than 30;more than 30;No;No;none;no change;1995;0;Accura;Male;Single;24;Sedan;30000 to 39000;400;3;1;5 years;External;3 to 4;Collision
Jul;2;Saturday;Urban;Monday;Jul;2;24418;Policy Holder;14;more than 30;more than 30;No;No;1 to 2;4 to 8 years;1994;0;Honda;Male;Married;23;Sedan;20000 to 29000;400;1;2 to 4;5 years;External;2 vehicles;Collision
Aug;1;Tuesday;Urban;Wednesday;Aug;1;24376;Policy Holder;6;more than 30;more than 30;No;No;more than 5;no change;1996;0;Mazda;Female;Married;36;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Collision
Nov;3;Saturday;Urban;Tuesday;Dec;1;7932;Policy Holder;9;more than 30;more than 30;No;No;none;no change;1996;0;Accura;Male;Married;33;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Collision
Sep;3;Sunday;Urban;Monday;Sep;3;43182;Policy Holder;16;more than 30;more than 30;No;No;none;no change;1996;0;Honda;Male;Married;54;Sport;30000 to 39000;400;2;more than 4;7 years;External;1 vehicle;Liability
Mar;2;Monday;Urban;Monday;May;2;43014;Policy Holder;15;more than 30;more than 30;No;No;1 to 2;no change;1994;0;Toyota;Male;Married;40;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Collision
Sep;5;Friday;Urban;Monday;Oct;1;7484;Policy Holder;16;more than 30;more than 30;No;No;none;no change;1994;0;Honda;Male;Married;42;Sedan;20000 to 29000;400;2;2 to 4;7 years;External;3 to 4;Collision
Dec;1;Friday;Rural;Friday;Dec;3;48790;Policy Holder;7;more than 30;more than 30;No;No;none;no change;1994;1;Honda;Male;Single;0;Sedan;more than 69000;400;3;none;new;External;1 vehicle;All Perils
Jun;3;Sunday;Urban;Tuesday;Jun;3;6542;Policy Holder;4;more than 30;more than 30;No;No;none;no change;1994;0;Toyota;Male;Single;21;Sedan;20000 to 29000;400;2;2 to 4;5 years;External;3 to 4;Collision
Jul;2;Tuesday;Urban;Wednesday;Aug;3;15129;Policy Holder;10;more than 30;more than 30;No;No;none;no change;1996;0;Honda;Male;Single;42;Sedan;less than 20000;400;4;1;7 years;External;1 vehicle;Collision
Jun;3;Tuesday;Urban;Tuesday;Jul;1;40824;Policy Holder;10;more than 30;more than 30;No;No;none;no change;1994;0;Chevrolet;Male;Married;51;Sport;30000 to 39000;400;3;1;7 years;External;1 vehicle;Liability
Apr;2;Friday;Urban;Tuesday;Apr;2;4652;Policy Holder;13;more than 30;more than 30;No;No;3 to 5;no change;1994;0;Toyota;Female;Married;30;Sedan;less than 20000;400;1;none;5 years;External;1 vehicle;Collision
Jun;2;Monday;Urban;Thursday;Jun;3;7561;Policy Holder;8;more than 30;more than 30;No;No;more than 5;no change;1994;0;Honda;Male;Married;59;Sedan;20000 to 29000;400;1;1;more than 7;External;3 to 4;Collision
Jul;5;Friday;Urban;Monday;Aug;3;27344;Policy Holder;6;more than 30;more than 30;Yes;No;1 to 2;no change;1994;0;Ford;Male;Married;71;Sedan;40000 to 59000;700;3;none;more than 7;External;1 vehicle;Collision
Jun;3;Monday;Urban;Friday;Jun;4;24959;Third Party;2;more than 30;more than 30;No;No;more than 5;4 to 8 years;1996;0;Pontiac;Male;Single;32;Sedan;30000 to 39000;400;4;2 to 4;6 years;External;2 vehicles;All Perils
Feb;1;Thursday;Urban;Friday;Feb;2;24944;Third Party;4;more than 30;more than 30;No;No;none;no change;1994;0;Honda;Male;Married;31;Sedan;20000 to 29000;400;3;none;5 years;External;1 vehicle;All Perils
Jun;2;Thursday;Urban;Monday;Jun;2;1531;Policy Holder;14;more than 30;more than 30;No;No;more than 5;no change;1994;0;Pontiac;Female;Single;45;Sport;30000 to 39000;400;2;more than 4;7 years;External;1 vehicle;Liability
Aug;2;Sunday;Rural;Wednesday;Jan;2;12090;Third Party;10;more than 30;more than 30;No;No;none;no change;1995;0;Pontiac;Male;Married;32;Sedan;20000 to 29000;400;2;none;6 years;External;1 vehicle;Collision
Feb;3;Friday;Urban;Tuesday;Feb;4;15663;Policy Holder;6;more than 30;more than 30;No;No;none;no change;1995;0;Toyota;Female;Single;35;Sport;less than 20000;400;1;more than 4;5 years;External;1 vehicle;Liability
Nov;3;Saturday;Urban;Friday;Dec;1;15204;Policy Holder;1;more than 30;more than 30;No;No;none;no change;1995;1;Saturn;Male;Married;30;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;All Perils
Oct;1;Wednesday;Urban;Tuesday;Oct;3;42698;Third Party;7;more than 30;more than 30;No;No;none;no change;1996;0;Toyota;Male;Married;37;Sedan;less than 20000;400;2;1;6 years;External;1 vehicle;All Perils
May;4;Sunday;Urban;Tuesday;May;4;48704;Policy Holder;10;more than 30;more than 30;No;No;none;no change;1994;0;Pontiac;Male;Married;40;Sport;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Liability
Nov;4;Tuesday;Urban;Tuesday;Nov;4;26491;Policy Holder;12;more than 30;more than 30;No;No;more than 5;no change;1996;0;Pontiac;Male;Married;53;Sport;20000 to 29000;400;3;1;more than 7;External;1 vehicle;Liability
Dec;2;Monday;Urban;Tuesday;Dec;2;44962;Policy Holder;3;more than 30;more than 30;No;No;none;no change;1996;0;Pontiac;Male;Married;46;Sport;30000 to 39000;400;4;2 to 4;more than 7;Internal;1 vehicle;Liability
Jun;5;Thursday;Urban;Thursday;Jun;5;33932;Policy Holder;14;more than 30;more than 30;No;No;3 to 5;no change;1996;0;Toyota;Male;Married;27;Sedan;20000 to 29000;400;1;1;7 years;External;1 vehicle;Collision
Aug;1;Thursday;Urban;Thursday;Aug;1;36933;Policy Holder;10;more than 30;more than 30;No;No;none;4 to 8 years;1994;0;Mazda;Male;Single;48;Sport;30000 to 39000;400;3;more than 4;7 years;External;2 vehicles;Liability
Jul;5;Thursday;Urban;Friday;Jul;5;14335;Policy Holder;13;more than 30;more than 30;No;No;3 to 5;no change;1994;0;Pontiac;Male;Single;41;Sedan;20000 to 29000;400;2;none;7 years;External;1 vehicle;Collision
Jun;5;Thursday;Urban;Tuesday;Jul;1;31337;Policy Holder;12;more than 30;more than 30;No;No;1 to 2;no change;1996;0;Toyota;Male;Married;29;Sport;20000 to 29000;400;3;1;7 years;External;1 vehicle;Liability
Aug;1;Tuesday;Urban;Tuesday;Aug;1;35872;Policy Holder;1;more than 30;more than 30;No;No;3 to 5;no change;1994;0;Chevrolet;Male;Married;31;Sedan;20000 to 29000;400;4;more than 4;6 years;External;1 vehicle;Collision
Jan;5;Monday;Urban;Tuesday;Feb;1;31215;Policy Holder;9;more than 30;more than 30;No;No;none;no change;1995;0;Pontiac;Male;Single;28;Sport;20000 to 29000;400;4;2 to 4;6 years;External;1 vehicle;Liability
Aug;5;Monday;Urban;Wednesday;Aug;5;672;Third Party;11;more than 30;more than 30;Yes;No;1 to 2;no change;1994;0;Toyota;Female;Married;40;Sedan;more than 69000;400;3;1;6 years;External;1 vehicle;Collision
Apr;4;Wednesday;Urban;Thursday;May;2;13627;Third Party;14;more than 30;more than 30;No;No;more than 5;no change;1994;0;Chevrolet;Male;Single;33;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Collision
Jun;2;Monday;Urban;Monday;Jun;2;41042;Policy Holder;16;more than 30;more than 30;No;No;none;no change;1995;0;Pontiac;Male;Married;43;Sport;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Liability
Jan;3;Sunday;Rural;Thursday;Jan;3;44320;Policy Holder;10;more than 30;more than 30;No;No;none;no change;1996;0;Toyota;Male;Married;53;Sedan;20000 to 29000;400;1;1;more than 7;External;1 vehicle;Collision
Nov;3;Sunday;Rural;Friday;Nov;4;20863;Policy Holder;6;more than 30;more than 30;No;No;none;no change;1995;0;Chevrolet;Male;Married;28;Sedan;30000 to 39000;400;1;1;7 years;External;1 vehicle;Collision
Apr;3;Saturday;Urban;Monday;Apr;3;26123;Policy Holder;6;15 to 30;more than 30;No;No;1 to 2;2 to 3 years;1995;0;Chevrolet;Male;Married;40;Sedan;30000 to 39000;500;1;1;7 years;External;1 vehicle;Collision
May;1;Monday;Urban;Thursday;May;1;24738;Policy Holder;2;more than 30;more than 30;No;No;none;4 to 8 years;1994;0;Pontiac;Female;Married;62;Sedan;20000 to 29000;400;4;more than 4;more than 7;External;2 vehicles;Collision
Oct;4;Sunday;Urban;Monday;Oct;4;6150;Policy Holder;4;more than 30;more than 30;No;No;1 to 2;no change;1995;0;Toyota;Female;Married;50;Sedan;20000 to 29000;400;4;none;6 years;External;1 vehicle;All Perils
Mar;3;Friday;Urban;Wednesday;Mar;4;9165;Policy Holder;3;more than 30;more than 30;No;No;1 to 2;no change;1996;0;Pontiac;Male;Married;39;Sedan;30000 to 39000;400;1;2 to 4;more than 7;External;1 vehicle;Collision
Aug;3;Wednesday;Rural;Monday;Sep;3;2870;Policy Holder;4;more than 30;more than 30;No;No;1 to 2;no change;1994;0;Chevrolet;Male;Married;52;Sedan;30000 to 39000;400;4;2 to 4;more than 7;External;1 vehicle;All Perils
Feb;1;Saturday;Urban;Monday;Feb;1;27549;Third Party;1;more than 30;more than 30;No;No;none;no change;1994;0;Pontiac;Male;Married;46;Sedan;20000 to 29000;400;2;1;more than 7;External;1 vehicle;All Perils
Nov;2;Saturday;Urban;Saturday;Nov;3;30562;Policy Holder;12;more than 30;more than 30;No;No;3 to 5;no change;1994;0;Honda;Male;Single;19;Sport;more than 69000;400;2;none;3 years;External;1 vehicle;Collision
Apr;3;Tuesday;Urban;Thursday;Apr;4;16502;Third Party;13;more than 30;more than 30;No;No;none;4 to 8 years;1996;0;Pontiac;Male;Married;49;Sport;20000 to 29000;400;1;2 to 4;5 years;External;2 vehicles;Liability
Feb;1;Sunday;Urban;Thursday;Feb;2;47973;Policy Holder;5;more than 30;more than 30;No;No;none;no change;1996;0;Pontiac;Male;Married;77;Sport;20000 to 29000;400;2;none;more than 7;External;1 vehicle;Liability
Sep;4;Tuesday;Urban;Wednesday;Sep;4;26472;Policy Holder;1;more than 30;more than 30;No;No;none;no change;1996;0;Mazda;Female;Single;44;Sport;20000 to 29000;400;4;2 to 4;6 years;External;1 vehicle;Liability
Mar;4;Wednesday;Urban;Thursday;Mar;4;35283;Policy Holder;6;more than 30;more than 30;No;No;none;no change;1994;0;Chevrolet;Male;Married;55;Sedan;30000 to 39000;400;2;2 to 4;more than 7;External;1 vehicle;All Perils
Jun;2;Thursday;Urban;Wednesday;Jun;3;14037;Policy Holder;4;more than 30;more than 30;No;No;none;no change;1994;0;Accura;Male;Married;51;Sedan;30000 to 39000;400;2;none;more than 7;External;1 vehicle;All Perils
May;1;Wednesday;Urban;Wednesday;May;1;14764;Policy Holder;16;more than 30;more than 30;No;No;1 to 2;no change;1995;0;Honda;Male;Married;29;Sport;20000 to 29000;400;1;more than 4;6 years;External;1 vehicle;Liability
Sep;1;Thursday;Urban;Thursday;Sep;1;42989;Policy Holder;5;more than 30;more than 30;No;No;more than 5;no change;1994;0;Toyota;Male;Married;28;Sedan;20000 to 29000;400;2;1;6 years;External;1 vehicle;Collision
Apr;4;Friday;Urban;Tuesday;May;1;37038;Policy Holder;6;more than 30;more than 30;No;No;none;no change;1994;0;Honda;Male;Married;35;Sport;more than 69000;400;1;none;5 years;External;1 vehicle;Collision
Jan;3;Friday;Urban;Thursday;Jan;3;45370;Policy Holder;1;more than 30;more than 30;No;No;none;no change;1994;0;Honda;Male;Single;34;Sedan;more than 69000;400;2;2 to 4;new;External;1 vehicle;All Perils
Mar;3;Tuesday;Urban;Wednesday;Mar;3;2245;Policy Holder;10;more than 30;more than 30;No;No;none;no change;1995;0;Mazda;Male;Married;39;Utility;more than 69000;400;4;2 to 4;7 years;External;1 vehicle;All Perils
Jul;2;Sunday;Urban;Monday;Jul;2;17307;Policy Holder;14;more than 30;more than 30;No;No;none;no change;1995;0;Toyota;Female;Single;27;Sport;less than 20000;400;4;more than 4;5 years;External;1 vehicle;Liability
Dec;1;Friday;Urban;Monday;Dec;3;16938;Policy Holder;13;more than 30;more than 30;No;No;3 to 5;no change;1996;0;Honda;Male;Married;69;Sedan;20000 to 29000;400;2;2 to 4;more than 7;External;1 vehicle;Collision
Nov;2;Thursday;Urban;Thursday;Nov;2;21501;Policy Holder;4;more than 30;more than 30;No;No;3 to 5;no change;1995;0;Toyota;Female;Single;39;Sedan;20000 to 29000;400;3;1;6 years;External;1 vehicle;All Perils
Apr;2;Thursday;Urban;Friday;Apr;2;14161;Third Party;2;more than 30;more than 30;No;No;none;no change;1996;0;Accura;Male;Single;49;Sedan;30000 to 39000;400;2;none;more than 7;External;1 vehicle;Collision
Feb;1;Friday;Urban;Friday;Feb;1;41097;Policy Holder;15;more than 30;more than 30;No;No;1 to 2;no change;1995;0;Honda;Male;Single;26;Sedan;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;Collision
Feb;4;Thursday;Urban;Friday;Feb;4;12243;Third Party;13;more than 30;more than 30;No;No;more than 5;no change;1994;0;Pontiac;Male;Married;40;Sedan;less than 20000;400;3;2 to 4;more than 7;External;1 vehicle;Collision
Jun;4;Monday;Urban;Monday;Jul;1;40814;Third Party;9;more than 30;more than 30;No;No;none;no change;1995;0;Toyota;Male;Married;43;Sedan;more than 69000;400;2;1;more than 7;External;1 vehicle;Collision
May;1;Sunday;Urban;Monday;May;1;40609;Policy Holder;15;more than 30;more than 30;No;No;3 to 5;no change;1994;0;Mazda;Male;Married;42;Sedan;20000 to 29000;400;2;none;7 years;External;1 vehicle;Collision
Oct;3;Thursday;Urban;Wednesday;Oct;4;32636;Third Party;12;more than 30;more than 30;Yes;No;1 to 2;no change;1994;0;Mazda;Male;Married;49;Sedan;more than 69000;400;1;none;7 years;External;1 vehicle;All Perils
Dec;4;Friday;Urban;Wednesday;Jan;1;20181;Policy Holder;3;more than 30;more than 30;No;No;none;no change;1996;0;Pontiac;Male;Married;72;Sedan;20000 to 29000;700;2;2 to 4;more than 7;External;1 vehicle;All Perils
Mar;4;Thursday;Urban;Monday;Apr;1;31625;Policy Holder;11;more than 30;more than 30;No;No;none;no change;1994;0;Honda;Male;Single;0;Sport;more than 69000;400;3;2 to 4;new;External;1 vehicle;Liability
Jan;4;Friday;Urban;Tuesday;Jan;4;15644;Third Party;8;more than 30;more than 30;No;No;more than 5;no change;1994;0;Toyota;Male;Married;29;Sedan;20000 to 29000;400;3;2 to 4;6 years;External;1 vehicle;All Perils
Oct;4;Monday;Urban;Thursday;Oct;4;24807;Third Party;4;more than 30;more than 30;No;No;none;no change;1994;0;Honda;Male;Married;30;Sedan;20000 to 29000;400;1;1;6 years;External;1 vehicle;Collision
Nov;2;Wednesday;Urban;Wednesday;Nov;2;11523;Policy Holder;2;more than 30;more than 30;No;No;3 to 5;no change;1994;0;Pontiac;Male;Married;37;Sport;30000 to 39000;400;1;2 to 4;7 years;External;1 vehicle;Liability
Feb;4;Thursday;Urban;Monday;Apr;3;34546;Policy Holder;15;more than 30;more than 30;No;No;none;no change;1994;1;Pontiac;Male;Married;32;Sedan;20000 to 29000;400;3;none;7 years;External;1 vehicle;All Perils
Jul;1;Tuesday;Urban;Wednesday;Aug;2;8749;Third Party;7;more than 30;more than 30;No;No;3 to 5;no change;1994;0;Pontiac;Female;Married;36;Sport;30000 to 39000;400;4;none;7 years;External;1 vehicle;Liability
Apr;1;Tuesday;Urban;Tuesday;Apr;1;45106;Third Party;13;more than 30;more than 30;No;No;more than 5;no change;1995;0;Mazda;Female;Single;28;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Collision
Jul;1;Monday;Rural;Tuesday;Jul;1;5870;Third Party;3;more than 30;more than 30;No;No;more than 5;no change;1994;0;Mazda;Male;Single;25;Sedan;20000 to 29000;400;1;none;4 years;External;1 vehicle;All Perils
Jul;3;Wednesday;Urban;Wednesday;Aug;1;48723;Third Party;9;more than 30;more than 30;No;No;none;4 to 8 years;1995;0;Mazda;Male;Married;37;Sport;more than 69000;400;2;none;more than 7;External;2 vehicles;Collision
Jan;5;Saturday;Urban;Tuesday;Feb;3;401;Policy Holder;7;more than 30;more than 30;No;No;none;no change;1994;0;Pontiac;Male;Single;38;Sport;30000 to 39000;400;1;none;7 years;External;1 vehicle;Liability
May;2;Sunday;Urban;Monday;May;2;10917;Policy Holder;6;more than 30;more than 30;No;No;more than 5;no change;1996;0;Chevrolet;Male;Married;33;Sport;30000 to 39000;400;2;2 to 4;7 years;External;1 vehicle;Liability
Mar;3;Monday;Urban;Tuesday;Mar;3;41212;Policy Holder;7;more than 30;more than 30;No;No;1 to 2;no change;1995;0;Toyota;Male;Married;51;Sport;more than 69000;400;2;more than 4;more than 7;External;1 vehicle;Liability
Oct;4;Sunday;Urban;Monday;Oct;5;15139;Third Party;11;more than 30;more than 30;No;No;none;no change;1996;0;Honda;Male;Single;24;Sport;more than 69000;400;4;none;new;External;1 vehicle;Collision
Jul;3;Saturday;Urban;Monday;Jul;3;59;Policy Holder;16;more than 30;more than 30;No;No;none;no change;1994;0;Pontiac;Male;Married;38;Sedan;20000 to 29000;400;2;1;6 years;External;1 vehicle;Collision
Aug;3;Tuesday;Urban;Friday;Aug;3;44630;Policy Holder;13;more than 30;more than 30;No;No;none;no change;1995;0;Pontiac;Male;Married;46;Sedan;less than 20000;400;2;1;7 years;External;1 vehicle;All Perils
Dec;3;Tuesday;Urban;Thursday;Apr;3;30996;Policy Holder;10;more than 30;more than 30;No;No;none;no change;1995;0;Honda;Male;Single;0;Utility;more than 69000;400;3;2 to 4;new;External;1 vehicle;All Perils
Oct;4;Tuesday;Urban;Monday;Jan;1;18331;Third Party;1;more than 30;more than 30;No;No;none;no change;1994;0;Chevrolet;Male;Married;27;Sedan;20000 to 29000;400;3;none;6 years;External;1 vehicle;All Perils
Mar;2;Friday;Urban;Friday;Mar;3;47103;Policy Holder;10;more than 30;more than 30;No;No;none;no change;1994;0;Pontiac;Male;Single;21;Sport;20000 to 29000;400;4;2 to 4;5 years;External;1 vehicle;Liability
Oct;2;Thursday;Urban;Thursday;Oct;3;1436;Policy Holder;9;more than 30;more than 30;No;No;1 to 2;no change;1995;1;Honda;Male;Married;33;Sedan;20000 to 29000;400;2;1;6 years;External;1 vehicle;All Perils
May;4;Wednesday;Urban;Wednesday;May;4;29005;Policy Holder;16;more than 30;more than 30;No;No;more than 5;2 to 3 years;1994;0;Toyota;Male;Married;53;Sport;more than 69000;500;3;2 to 4;more than 7;External;1 vehicle;Liability
Dec;3;Friday;Urban;Monday;Jan;1;14593;Policy Holder;15;more than 30;more than 30;No;No;none;no change;1995;0;Chevrolet;Male;Married;39;Sport;20000 to 29000;400;2;none;more than 7;External;1 vehicle;Liability
Oct;4;Saturday;Urban;Monday;Oct;4;30422;Third Party;8;more than 30;more than 30;No;No;none;no change;1994;0;Toyota;Male;Married;35;Sedan;20000 to 29000;400;1;none;7 years;External;1 vehicle;Collision
